datetime,temperature_2m,surface_pressure,wind_speed_100m,wind_direction_100m
2019-01-04 15:00:00+01:00,0.807,999.9665,7.710382,272.97366
2019-01-04 15:15:00+01:00,0.7445,999.838025,7.690829,273.54582
2019-01-04 15:30:00+01:00,0.682,999.70955,7.671276,274.11798
2019-01-04 15:45:00+01:00,0.6195,999.581075,7.651722,274.69014
2019-01-04 16:00:00+01:00,0.557,999.4526,7.632169,275.2623
2019-01-04 16:15:00+01:00,0.557,999.4526,7.577839,276.471085
2019-01-04 16:30:00+01:00,0.557,999.4526,7.523509,277.67987
2019-01-04 16:45:00+01:00,0.557,999.4526,7.46918,278.888655
2019-01-04 17:00:00+01:00,0.557,999.4526,7.41485,280.09744
2019-01-04 17:15:00+01:00,0.607,999.289232,7.586292,277.749905
2019-01-04 17:30:00+01:00,0.657,999.125865,7.757734,275.40237
2019-01-04 17:45:00+01:00,0.707,998.962497,7.929176,273.054835
2019-01-04 18:00:00+01:00,0.757,998.79913,8.100618,270.7073
2019-01-04 18:15:00+01:00,0.8195,998.588757,8.25563,271.51675
2019-01-04 18:30:00+01:00,0.882,998.378385,8.410642,272.3262
2019-01-04 18:45:00+01:00,0.9445,998.168012,8.565653,273.13565
2019-01-04 19:00:00+01:00,1.007,997.95764,8.720665,273.9451
2019-01-04 19:15:00+01:00,1.0445,997.937905,8.584086,274.892205
2019-01-04 19:30:00+01:00,1.082,997.91817,8.447508,275.83931
2019-01-04 19:45:00+01:00,1.1195,997.898435,8.31093,276.786415
2019-01-04 20:00:00+01:00,1.157,997.8787,8.174351,277.73352
2019-01-04 20:15:00+01:00,1.1695,997.8076,8.136536,278.312465
2019-01-04 20:30:00+01:00,1.182,997.7365,8.098722,278.89141
2019-01-04 20:45:00+01:00,1.1945,997.6654,8.060907,279.470355
