day,time,event,probability,duration,flow_rate,sigma_duration,sigma_flow_rate
0,02:23:00,small,0.02,60,0.017,60,0.033
0,02:36:00,small,0.02,60,0.017,60,0.033
0,02:47:00,small,0.02,60,0.017,60,0.033
0,03:00:00,small,0.02,60,0.017,60,0.033
0,03:12:00,small,0.02,60,0.017,60,0.033
0,03:23:00,small,0.023,60,0.017,60,0.033
0,03:36:00,small,0.027,60,0.017,60,0.033
0,03:47:00,small,0.032,60,0.017,60,0.033
0,04:00:00,small,0.038,60,0.017,60,0.033
0,04:12:00,small,0.044,60,0.017,60,0.033
0,04:24:00,small,0.05,60,0.017,60,0.033
0,04:35:00,small,0.056,60,0.017,60,0.033
0,04:47:00,small,0.063,60,0.017,60,0.033
0,05:00:00,small,0.07,60,0.017,60,0.033
0,05:12:00,small,0.077,60,0.017,60,0.033
0,05:24:00,small,0.084,60,0.017,60,0.033
0,05:35:00,small,0.091,60,0.017,60,0.033
0,05:47:00,small,0.097,60,0.017,60,0.033
0,06:00:00,small,0.102,60,0.017,60,0.033
0,06:12:00,small,0.107,60,0.017,60,0.033
0,06:24:00,small,0.111,60,0.017,60,0.033
0,06:35:00,small,0.114,60,0.017,60,0.033
0,06:47:00,small,0.115,60,0.017,60,0.033
0,07:00:00,small,0.118,60,0.017,60,0.033
0,07:12:00,small,0.118,60,0.017,60,0.033
0,07:24:00,small,0.119,60,0.017,60,0.033
0,07:35:00,small,0.119,60,0.017,60,0.033
0,07:47:00,small,0.119,60,0.017,60,0.033
0,08:00:00,small,0.119,60,0.017,60,0.033
0,08:11:00,small,0.119,60,0.017,60,0.033
0,08:24:00,small,0.119,60,0.017,60,0.033
0,08:35:00,small,0.119,60,0.017,60,0.033
0,08:48:00,small,0.119,60,0.017,60,0.033
0,09:00:00,small,0.119,60,0.017,60,0.033
0,09:11:00,small,0.119,60,0.017,60,0.033
0,09:24:00,small,0.12,60,0.017,60,0.033
0,09:35:00,small,0.12,60,0.017,60,0.033
0,09:48:00,small,0.12,60,0.017,60,0.033
0,10:00:00,small,0.12,60,0.017,60,0.033
0,10:11:00,small,0.12,60,0.017,60,0.033
0,10:24:00,small,0.12,60,0.017,60,0.033
0,10:35:00,small,0.12,60,0.017,60,0.033
0,10:48:00,small,0.12,60,0.017,60,0.033
0,11:00:00,small,0.12,60,0.017,60,0.033
0,11:11:00,small,0.12,60,0.017,60,0.033
0,11:24:00,small,0.12,60,0.017,60,0.033
0,11:35:00,small,0.12,60,0.017,60,0.033
0,11:48:00,small,0.12,60,0.017,60,0.033
0,12:00:00,small,0.12,60,0.017,60,0.033
0,12:11:00,small,0.12,60,0.017,60,0.033
0,12:24:00,small,0.12,60,0.017,60,0.033
0,12:35:00,small,0.12,60,0.017,60,0.033
0,12:48:00,small,0.12,60,0.017,60,0.033
0,13:00:00,small,0.12,60,0.017,60,0.033
0,13:11:00,small,0.12,60,0.017,60,0.033
0,13:24:00,small,0.12,60,0.017,60,0.033
0,13:35:00,small,0.12,60,0.017,60,0.033
0,13:48:00,small,0.12,60,0.017,60,0.033
0,14:00:00,small,0.12,60,0.017,60,0.033
0,14:11:00,small,0.12,60,0.017,60,0.033
0,14:24:00,small,0.12,60,0.017,60,0.033
0,14:35:00,small,0.12,60,0.017,60,0.033
0,14:48:00,small,0.119,60,0.017,60,0.033
0,15:00:00,small,0.119,60,0.017,60,0.033
0,15:11:00,small,0.119,60,0.017,60,0.033
0,15:24:00,small,0.119,60,0.017,60,0.033
0,15:35:00,small,0.119,60,0.017,60,0.033
0,15:48:00,small,0.119,60,0.017,60,0.033
0,16:00:00,small,0.119,60,0.017,60,0.033
0,16:11:00,small,0.119,60,0.017,60,0.033
0,16:23:00,small,0.119,60,0.017,60,0.033
0,16:36:00,small,0.119,60,0.017,60,0.033
0,16:48:00,small,0.118,60,0.017,60,0.033
0,17:00:00,small,0.118,60,0.017,60,0.033
0,17:11:00,small,0.118,60,0.017,60,0.033
0,17:23:00,small,0.118,60,0.017,60,0.033
0,17:36:00,small,0.118,60,0.017,60,0.033
0,17:48:00,small,0.118,60,0.017,60,0.033
0,18:00:00,small,0.118,60,0.017,60,0.033
0,18:11:00,small,0.117,60,0.017,60,0.033
0,18:23:00,small,0.117,60,0.017,60,0.033
0,18:36:00,small,0.117,60,0.017,60,0.033
